Request,Sample,Batch,Parameter List,Parameter,Data
R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Separation Severity,1.76
R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Onset of Major Separation,185
R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separation Severity,9.05
R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Onset of Major Separation,215
R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separation,Y
R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Onset of Major Separation,100
R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separation Severity,5.02
R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separation,Y
R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separation,N
R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separation Severity,10.40
R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Onset of Major Separation,50
R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separation,Y
R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210525-00048,S-210525-00772,,Lumisizer - VM,Lumisizer Separation,Y
R-20210525-00048,S-210525-00772,,Lumisizer - VM,Lumisizer Onset of Major Separation,115
R-20210525-00048,S-210525-00772,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210525-00048,S-210525-00772,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210525-00048,S-210525-00772,,Lumisizer - VM,Lumisizer Separation Severity,2.10
R-20210526-00053,S-210526-01044,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210526-00053,S-210526-01044,,Lumisizer - VM,Lumisizer Separation Severity,2.10
R-20210526-00053,S-210526-01044,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210526-00053,S-210526-01044,,Lumisizer - VM,Lumisizer Onset of Major Separation,230
R-20210526-00053,S-210526-01044,,Lumisizer - VM,Lumisizer Separation,Y
R-20210601-00031,S-210601-00565,,Lumisizer - VM,Lumisizer Onset of Major Separation,10
R-20210601-00031,S-210601-00565,,Lumisizer - VM,Lumisizer Separation,Y
R-20210601-00031,S-210601-00565,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210601-00031,S-210601-00565,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom
R-20210601-00031,S-210601-00565,,Lumisizer - VM,Lumisizer Separation Severity,30.00
R-20210601-00032,S-210601-00597,,Lumisizer - VM,Lumisizer Separation Severity,32.00
R-20210601-00032,S-210601-00597,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom
R-20210601-00032,S-210601-00597,,Lumisizer - VM,Lumisizer Separated Layers,4
R-20210601-00032,S-210601-00597,,Lumisizer - VM,Lumisizer Separation,Y
R-20210601-00032,S-210601-00597,,Lumisizer - VM,Lumisizer Onset of Major Separation,5
R-20210602-00059,S-210602-01946,,Lumisizer - VM,Lumisizer Separation,Y
R-20210602-00059,S-210602-01946,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210602-00059,S-210602-01946,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210602-00059,S-210602-01946,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210602-00059,S-210602-01946,,Lumisizer - VM,Lumisizer Separation Severity,4.70
R-20210602-00060,S-210602-01978,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210602-00060,S-210602-01978,,Lumisizer - VM,Lumisizer Separation Severity,2.70
R-20210602-00060,S-210602-01978,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210602-00060,S-210602-01978,,Lumisizer - VM,Lumisizer Separation,Y
R-20210602-00060,S-210602-01978,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210602-00077,S-210602-02421,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle
R-20210602-00077,S-210602-02421,,Lumisizer - VM,Lumisizer Separation Severity,12.20
R-20210602-00077,S-210602-02421,,Lumisizer - VM,Lumisizer Onset of Major Separation,10
R-20210602-00077,S-210602-02421,,Lumisizer - VM,Lumisizer Separated Layers,4
R-20210602-00077,S-210602-02421,,Lumisizer - VM,Lumisizer Separation,Y
R-20210603-00058,S-210603-00852,,Lumisizer - VM,Lumisizer Onset of Major Separation,40
R-20210603-00058,S-210603-00852,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210603-00058,S-210603-00852,,Lumisizer - VM,Lumisizer Separation,Y
R-20210603-00058,S-210603-00852,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle
R-20210603-00058,S-210603-00852,,Lumisizer - VM,Lumisizer Separation Severity,12.60
R-20210604-00050,S-210604-00899,,Lumisizer - VM,Lumisizer Separation,N
R-20210604-00050,S-210604-00899,,Lumisizer - VM,Lumisizer Separated Layers,NA
R-20210604-00050,S-210604-00899,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210604-00050,S-210604-00899,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210604-00050,S-210604-00899,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210604-00051,S-210604-00945,,Lumisizer - VM,Lumisizer Separated Layers,NA
R-20210604-00051,S-210604-00945,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210604-00051,S-210604-00945,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210604-00051,S-210604-00945,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210604-00051,S-210604-00945,,Lumisizer - VM,Lumisizer Separation,N
R-20210604-00052,S-210604-00992,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210604-00052,S-210604-00992,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210604-00052,S-210604-00992,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210604-00052,S-210604-00992,,Lumisizer - VM,Lumisizer Separation,N
R-20210604-00052,S-210604-00992,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210610-00079,S-210610-00942,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210610-00079,S-210610-00942,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210610-00079,S-210610-00942,,Lumisizer - VM,Lumisizer Separation Severity,9.35
R-20210610-00079,S-210610-00942,,Lumisizer - VM,Lumisizer Onset of Major Separation,100
R-20210610-00079,S-210610-00942,,Lumisizer - VM,Lumisizer Separation,Y
R-20210610-00080,S-210610-00973,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210610-00080,S-210610-00973,,Lumisizer - VM,Lumisizer Separation,Y
R-20210610-00080,S-210610-00973,,Lumisizer - VM,Lumisizer Onset of Major Separation,220
R-20210610-00080,S-210610-00973,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210610-00080,S-210610-00973,,Lumisizer - VM,Lumisizer Separation Severity,8.93
R-20210611-00035,S-210611-02511,,Lumisizer - VM,Lumisizer Onset of Major Separation,185
R-20210611-00035,S-210611-02511,,Lumisizer - VM,Lumisizer Separation Severity,1.98
R-20210611-00035,S-210611-02511,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210611-00035,S-210611-02511,,Lumisizer - VM,Lumisizer Separation,Y
R-20210611-00035,S-210611-02511,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210611-00036,S-210611-02570,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210611-00036,S-210611-02570,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210611-00036,S-210611-02570,,Lumisizer - VM,Lumisizer Separation,N
R-20210611-00036,S-210611-02570,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210611-00036,S-210611-02570,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210611-00037,S-210611-02616,,Lumisizer - VM,Lumisizer Onset of Major Separation,70
R-20210611-00037,S-210611-02616,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom
R-20210611-00037,S-210611-02616,,Lumisizer - VM,Lumisizer Separation,Y
R-20210611-00037,S-210611-02616,,Lumisizer - VM,Lumisizer Separated Layers,4
R-20210611-00037,S-210611-02616,,Lumisizer - VM,Lumisizer Separation Severity,~33
R-20210614-00024,S-210614-00720,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210614-00024,S-210614-00720,,Lumisizer - VM,Lumisizer Separation Severity,22.70
R-20210614-00024,S-210614-00720,,Lumisizer - VM,Lumisizer Onset of Major Separation,2
R-20210614-00024,S-210614-00720,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210614-00024,S-210614-00720,,Lumisizer - VM,Lumisizer Separation,Y
R-20210614-00028,S-210614-00787,,Lumisizer - VM,Lumisizer Separation Severity,8.48
R-20210614-00028,S-210614-00787,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210614-00028,S-210614-00787,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210614-00028,S-210614-00787,,Lumisizer - VM,Lumisizer Separation,Y
R-20210614-00028,S-210614-00787,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210614-00029,S-210614-00811,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210614-00029,S-210614-00811,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210614-00029,S-210614-00811,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210614-00029,S-210614-00811,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210614-00029,S-210614-00811,,Lumisizer - VM,Lumisizer Separation,N
R-20210616-00058,S-210616-00973,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210616-00058,S-210616-00973,,Lumisizer - VM,Lumisizer Separation,N
R-20210616-00058,S-210616-00973,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210616-00058,S-210616-00973,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210616-00058,S-210616-00973,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210616-00059,S-210616-01005,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210616-00059,S-210616-01005,,Lumisizer - VM,Lumisizer Separation,Y
R-20210616-00059,S-210616-01005,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210616-00059,S-210616-01005,,Lumisizer - VM,Lumisizer Onset of Major Separation,30
R-20210616-00059,S-210616-01005,,Lumisizer - VM,Lumisizer Separation Severity,2.20
R-20210616-00060,S-210616-01037,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle
R-20210616-00060,S-210616-01037,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210616-00060,S-210616-01037,,Lumisizer - VM,Lumisizer Separation Severity,17.11
R-20210616-00060,S-210616-01037,,Lumisizer - VM,Lumisizer Onset of Major Separation,2
R-20210616-00060,S-210616-01037,,Lumisizer - VM,Lumisizer Separation,Y
R-20210616-00062,S-210616-01070,,Lumisizer - VM,Lumisizer Separation Severity,<3
R-20210616-00062,S-210616-01070,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210616-00062,S-210616-01070,,Lumisizer - VM,Lumisizer Separation,Y
R-20210616-00062,S-210616-01070,,Lumisizer - VM,Lumisizer Onset of Major Separation,150
R-20210616-00062,S-210616-01070,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210616-00101,S-210616-01278,,Lumisizer - VM,Lumisizer Separation,N
R-20210616-00101,S-210616-01278,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210616-00101,S-210616-01278,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210616-00101,S-210616-01278,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210616-00101,S-210616-01278,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210621-00041,S-210621-01299,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210621-00041,S-210621-01299,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210621-00041,S-210621-01299,,Lumisizer - VM,Lumisizer Onset of Major Separation,220
R-20210621-00041,S-210621-01299,,Lumisizer - VM,Lumisizer Separation,Y
R-20210621-00041,S-210621-01299,,Lumisizer - VM,Lumisizer Separation Severity,1.00
R-20210621-00042,S-210621-01345,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210621-00042,S-210621-01345,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210621-00042,S-210621-01345,,Lumisizer - VM,Lumisizer Onset of Major Separation,135
R-20210621-00042,S-210621-01345,,Lumisizer - VM,Lumisizer Separation,Y
R-20210621-00042,S-210621-01345,,Lumisizer - VM,Lumisizer Separation Severity,4.00
R-20210621-00044,S-210621-01391,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210621-00044,S-210621-01391,,Lumisizer - VM,Lumisizer Onset of Major Separation,35
R-20210621-00044,S-210621-01391,,Lumisizer - VM,Lumisizer Separation Severity,14.50
R-20210621-00044,S-210621-01391,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210621-00044,S-210621-01391,,Lumisizer - VM,Lumisizer Separation,Y
R-20210622-00057,S-210622-01697,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210622-00057,S-210622-01697,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210622-00057,S-210622-01697,,Lumisizer - VM,Lumisizer Separation,N
R-20210622-00057,S-210622-01697,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210622-00057,S-210622-01697,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210623-00039,S-210623-00595,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210623-00039,S-210623-00595,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210623-00039,S-210623-00595,,Lumisizer - VM,Lumisizer Separation,N
R-20210623-00039,S-210623-00595,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210623-00039,S-210623-00595,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210623-00042,S-210623-00627,,Lumisizer - VM,Lumisizer Separation,N
R-20210623-00042,S-210623-00627,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210623-00042,S-210623-00627,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210623-00042,S-210623-00627,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210623-00042,S-210623-00627,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210623-00057,S-210623-00811,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210623-00057,S-210623-00811,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210623-00057,S-210623-00811,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210623-00057,S-210623-00811,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210623-00057,S-210623-00811,,Lumisizer - VM,Lumisizer Separation,N
R-20210624-00042,S-210624-00914,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210624-00042,S-210624-00914,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom
R-20210624-00042,S-210624-00914,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210624-00042,S-210624-00914,,Lumisizer - VM,Lumisizer Separation Severity,39.80
R-20210624-00042,S-210624-00914,,Lumisizer - VM,Lumisizer Separation,N
R-20210629-00052,S-210629-01275,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210629-00052,S-210629-01275,,Lumisizer - VM,Lumisizer Separation Severity,11.03
R-20210629-00052,S-210629-01275,,Lumisizer - VM,Lumisizer Separation,Y
R-20210629-00052,S-210629-01275,,Lumisizer - VM,Lumisizer Separated Layers,4
R-20210629-00052,S-210629-01275,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom
R-20210629-00054,S-210629-01348,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210629-00054,S-210629-01348,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210629-00054,S-210629-01348,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210629-00054,S-210629-01348,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210629-00054,S-210629-01348,,Lumisizer - VM,Lumisizer Separation,N
R-20210630-00071,S-210630-00441,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210630-00071,S-210630-00441,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210630-00071,S-210630-00441,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210630-00071,S-210630-00441,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210630-00071,S-210630-00441,,Lumisizer - VM,Lumisizer Separation,N
R-20210630-00075,S-210630-00508,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210630-00075,S-210630-00508,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210630-00075,S-210630-00508,,Lumisizer - VM,Lumisizer Separation,N
R-20210630-00075,S-210630-00508,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210630-00075,S-210630-00508,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210630-00076,S-210630-00540,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210630-00076,S-210630-00540,,Lumisizer - VM,Lumisizer Separation,N
R-20210630-00076,S-210630-00540,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210630-00076,S-210630-00540,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210630-00076,S-210630-00540,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210701-00021,S-210701-00643,,Lumisizer - VM,Lumisizer Separated Layers,4
R-20210701-00021,S-210701-00643,,Lumisizer - VM,Lumisizer Separation,Y
R-20210701-00021,S-210701-00643,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210701-00021,S-210701-00643,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom
R-20210701-00021,S-210701-00643,,Lumisizer - VM,Lumisizer Separation Severity,9.1 - 40.9
R-20210701-00032,S-210701-01557,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210701-00032,S-210701-01557,,Lumisizer - VM,Lumisizer Separation,N
R-20210701-00032,S-210701-01557,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210701-00032,S-210701-01557,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210701-00032,S-210701-01557,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210707-00040,S-210707-00341,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210707-00040,S-210707-00341,,Lumisizer - VM,Lumisizer Separation,Y
R-20210707-00040,S-210707-00341,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom
R-20210707-00040,S-210707-00341,,Lumisizer - VM,Lumisizer Onset of Major Separation,5
R-20210707-00040,S-210707-00341,,Lumisizer - VM,Lumisizer Separation Severity,25.00
R-20210707-00042,S-210707-00404,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210707-00042,S-210707-00404,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210707-00042,S-210707-00404,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210707-00042,S-210707-00404,,Lumisizer - VM,Lumisizer Separation,N
R-20210707-00042,S-210707-00404,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210707-00052,S-210707-00498,,Lumisizer - VM,Lumisizer Separated Layers,4
R-20210707-00052,S-210707-00498,,Lumisizer - VM,Lumisizer Separation,Y
R-20210707-00052,S-210707-00498,,Lumisizer - VM,Lumisizer Separation Severity,1.8 - 51.1
R-20210707-00052,S-210707-00498,,Lumisizer - VM,Lumisizer Onset of Major Separation,70 - 180
R-20210707-00052,S-210707-00498,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom
R-20210708-00042,S-210708-00496,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210708-00042,S-210708-00496,,Lumisizer - VM,Lumisizer Onset of Major Separation,60 - 110
R-20210708-00042,S-210708-00496,,Lumisizer - VM,Lumisizer Separation Severity,1.7  - 78.4
R-20210708-00042,S-210708-00496,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom
R-20210708-00042,S-210708-00496,,Lumisizer - VM,Lumisizer Separation,Y
R-20210709-00049,S-210709-00906,,Lumisizer - VM,Lumisizer Onset of Major Separation,50
R-20210709-00049,S-210709-00906,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210709-00049,S-210709-00906,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210709-00049,S-210709-00906,,Lumisizer - VM,Lumisizer Separation,Y
R-20210709-00049,S-210709-00906,,Lumisizer - VM,Lumisizer Separation Severity,12.50
R-20210709-00050,S-210709-00952,,Lumisizer - VM,Lumisizer Separation Severity,5.10
R-20210709-00050,S-210709-00952,,Lumisizer - VM,Lumisizer Onset of Major Separation,130
R-20210709-00050,S-210709-00952,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210709-00050,S-210709-00952,,Lumisizer - VM,Lumisizer Separation,Y
R-20210709-00050,S-210709-00952,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210713-00057,S-210713-01021,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210713-00057,S-210713-01021,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210713-00057,S-210713-01021,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210713-00057,S-210713-01021,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210713-00057,S-210713-01021,,Lumisizer - VM,Lumisizer Separation,N
R-20210713-00058,S-210713-01067,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210713-00058,S-210713-01067,,Lumisizer - VM,Lumisizer Separated Layers,NA
R-20210713-00058,S-210713-01067,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210713-00058,S-210713-01067,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210713-00058,S-210713-01067,,Lumisizer - VM,Lumisizer Separation,N
R-20210713-00059,S-210713-01113,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210713-00059,S-210713-01113,,Lumisizer - VM,Lumisizer Separation,N
R-20210713-00059,S-210713-01113,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210713-00059,S-210713-01113,,Lumisizer - VM,Lumisizer Separated Layers,NA
R-20210713-00059,S-210713-01113,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210713-00067,S-210713-01188,,Lumisizer - VM,Lumisizer Separation,N
R-20210713-00067,S-210713-01188,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210713-00067,S-210713-01188,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210713-00067,S-210713-01188,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210713-00067,S-210713-01188,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210719-00060,S-210719-00977,,Lumisizer - VM,Lumisizer Separation,N
R-20210719-00060,S-210719-00977,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210719-00060,S-210719-00977,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210719-00060,S-210719-00977,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210719-00060,S-210719-00977,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210720-00017,S-210720-00384,,Lumisizer - VM,Lumisizer Separation,Y
R-20210720-00017,S-210720-00384,,Lumisizer - VM,Lumisizer Onset of Major Separation,35
R-20210720-00017,S-210720-00384,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210720-00017,S-210720-00384,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210720-00017,S-210720-00384,,Lumisizer - VM,Lumisizer Separation Severity,2.10
R-20210720-00018,S-210720-00419,,Lumisizer - VM,Lumisizer Separation,Y
R-20210720-00018,S-210720-00419,,Lumisizer - VM,Lumisizer Separation Severity,2.60
R-20210720-00018,S-210720-00419,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210720-00018,S-210720-00419,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210720-00018,S-210720-00419,,Lumisizer - VM,Lumisizer Onset of Major Separation,30
R-20210720-00022,S-210720-00483,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210720-00022,S-210720-00483,,Lumisizer - VM,Lumisizer Separation Severity,14.10
R-20210720-00022,S-210720-00483,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210720-00022,S-210720-00483,,Lumisizer - VM,Lumisizer Separation,Y
R-20210720-00022,S-210720-00483,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210721-00029,S-210721-00346,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
